Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription,,,
2012/3/15,82 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,5,Shared House,,,
2012/3/15,3 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,3,Shared House,,,
2012/3/15,62 Bridge Street, Llandaff, Cardiff, CF5 2EN,8,Shared House,,,
2012/3/20,141 Albany Road, Roath, Cardiff, CF24 3NT,6,Shared House,,,
2012/3/21,13 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,13,Shared House,,,
2012/3/21,15 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,8,Flats Section 257,,,
2012/3/21,9 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,6,Flats Section 257,,,
2012/3/21,108 Connaught Road, Roath, Cardiff, CF24 3PY,5,Shared House,,,
2012/3/22,92 Cosmeston Street, Cathays, Cardiff, CF24 4LR,3,Shared House,,,
2012/3/22,130 Crwys Road, Cathays, Cardiff, CF24 4NR,4,Shared House,,,
2012/3/29,88 Cathedral Road, Pontcanna, Cardiff, CF11 9LN,18,Shared House,,,
2012/3/30,3 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,9,Flats Section 257,,,
2012/4/2,98 Harriet Street, Cathays, Cardiff, CF24 4BX,4,Shared House,,,
2012/4/10,1 Maindy Road, Cathays, Cardiff, CF24 4HL,4,Shared House,,,
2012/4/11,94 North Road, Cathays, Cardiff, CF10 3DZ,5,Shared House,,,
2012/4/11,111 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,5,Shared House,,,
2012/4/11,55 Coburn Street, Cathays, Cardiff, CF24 4BR,4,Shared House,,,
2012/4/11,80 May Street, Cathays, Cardiff, CF24 4EY,4,Shared House,,,
2012/4/11,153 Cathays Terrace, Cathays, Cardiff, CF24 4HW,7,Shared House,,,
2012/4/11,180 Woodville Road, Cathays, Cardiff, CF24 4NW,7,Shared House,,,
2012/4/17,87 Malefant Street, Cathays, Cardiff, CF24 4QD,4,Shared House,,,
2012/4/24,109 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House,,,
2012/4/24,40 Shirley Road, Roath, Cardiff, CF23 5HN,5,Shared House,,,
2012/4/25,23 Llandough Street, Cathays, Cardiff, CF24 4AW,8,Shared House,,,
2012/4/25,17 Mundy Place, Cathays, Cardiff, CF24 4BZ,3,Shared House,,,
2012/4/25,202 Rhymney Street, Cathays, Cardiff, CF24 4DJ,7,Shared House,,,
2012/4/25,129 Cathays Terrace, Cathays, Cardiff, CF24 4HU,5,Shared House,,,
2012/4/25,77 Robert Street, Cathays, Cardiff, CF24 4PZ,4,Shared House,,,
2012/5/1,64 Rhymney Street, Cathays, Cardiff, CF24 4DG,3,Shared House,,,
2012/5/2,57 Blackweir Terrace, Cathays, Cardiff, CF10 3EQ,5,Shared House,,,
2012/5/2,34 Llantrisant Street, Cathays, Cardiff, CF24 4JE,4,Shared House,,,
2012/5/2,35 Cwmdare Street, Cathays, Cardiff, CF24 4JY,4,Shared House,,,
2012/5/2,14 Bruce Street, Cathays, Cardiff, CF24 4PJ,5,Shared House,,,
2012/5/3,6c Gwennyth Street, Cathays, Cardiff, CF24 4PH,6,Flat in Multiple Occupation,,,
2012/5/3,Flat 1 6a Gwennyth Street, Cathays, Cardiff, CF24 4PH,3,Flat in Multiple Occupation,,,
2012/5/3,85 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,5,Shared House,,,
2012/5/3,94 Newfoundland Road, Gabalfa, Cardiff, CF14 3LD,6,Shared House,,,
2012/5/8,12 Rhymney Terrace, Cathays, Cardiff, CF24 4DE,6,Shared House,,,
2012/5/10,72 Rhymney Street, Cathays, Cardiff, CF24 4DG,4,Shared House,,,
2012/5/10,19 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,4,Shared House,,,
2012/5/22,40 Colum Road, Cathays, Cardiff, CF10 3EH,6,Shared House,,,
2012/5/25,26 Rhymney Terrace, Cathays, Cardiff, CF24 4DE,5,Shared House,,,
2012/5/25,36 Flora Street, Cathays, Cardiff, CF24 4EQ,4,Shared House,,,
2012/5/25,50 Flora Street, Cathays, Cardiff, CF24 4EQ,7,Shared House,,,
2012/5/25,5 Pentyrch Street, Cathays, Cardiff, CF24 4JW,5,Shared House,,,
2012/5/25,1 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,7,Shared House,,,
2012/5/25,6 Clare Road, Riverside, Cardiff, CF11 6QL,5,Shared House,,,
2012/5/28,100 Salisbury Road, Cathays, Cardiff, CF24 4AE,3,Flats Section 257,,,
2012/5/28,52 Miskin Street, Cathays, Cardiff, CF24 4AQ,7,Shared House,,,
2012/5/28,44 Rhymney Street, Cathays, Cardiff, CF24 4DG,3,Shared House,,,
2012/5/30,29 Colum Road, Cathays, Cardiff, CF10 3EE,6,Shared House,,,
2012/5/30,54 Miskin Street, Cathays, Cardiff, CF24 4AQ,6,Shared House,,,
2012/6/1,3 Cranbrook Street, Cathays, Cardiff, CF24 4AL,4,Shared House,,,
2012/6/1,34 Harriet Street, Cathays, Cardiff, CF24 4BY,,Shared House,,,
2012/6/1,14 Treorchy Street, Cathays, Cardiff, CF24 4JP,4,Shared House,,,
2012/6/11,150 Miskin Street, Cathays, Cardiff, CF24 4AS,4,Shared House,,,
2012/6/11,19 Ruthin Gardens, Cathays, Cardiff, CF24 4AU,4,Shared House,,,
2012/6/11,12 Llandough Street, Cathays, Cardiff, CF24 4AW,6,Shared House,,,
2012/6/11,21 Llandough Street, Cathays, Cardiff, CF24 4AW,5,Shared House,,,
2012/6/11,24 Llandough Street, Cathays, Cardiff, CF24 4AW,6,Shared House,,,
2012/6/11,18 Cogan Terrace, Cathays, Cardiff, CF24 4AX,5,Shared House,,,
2012/6/11,74 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,5,Shared House,,,
2012/6/11,85 Rhymney Street, Cathays, Cardiff, CF24 4DH,5,Shared House,,,
2012/6/11,200 Rhymney Street, Cathays, Cardiff, CF24 4DJ,5,Shared House,,,
2012/6/11,17 Flora Street, Cathays, Cardiff, CF24 4EP,5,Shared House,,,
2012/6/11,18 Merthyr Street, Cathays, Cardiff, CF24 4JJ,4,Flats Section 257,,,
2012/6/11,118 Lisvane Street, Cathays, Cardiff, CF24 4LN,7,Shared House,,,
2012/6/11,96 Lisvane Street, Cathays, Cardiff, CF24 4LN,4,Shared House,,,
2012/6/15,32 Dogfield Street, Cathays, Cardiff, CF24 4QJ,4,Shared House,,,
2012/6/18,24 Piercefield Place, Adamsdown, Cardiff, CF24 0LD,9,Flats Section 257,,,
2012/6/18,15 Rhymney Street, Cathays, Cardiff, CF24 4DF,5,Shared House,,,
2012/6/18,106 Cathays Terrace, Cathays, Cardiff, CF24 4HY,4,Shared House,,,
2012/6/18,41 Pentyrch Street, Cathays, Cardiff, CF24 4JX,8,Shared House,,,
2012/6/18,24a Crwys Road, Cathays, Cardiff, CF24 4NL,3,Shared House,,,
2012/6/18,108 Dogfield Street, Cathays, Cardiff, CF24 4QN,3,Shared House,,,
